n_img,n_cluster,n_fixation,centroX,centroY,mediaDistCentro,stdevX,stdevY
1,1,1,0.4546787617520069,0.3217941578065745,0.0,0.0,0.0
1,2,1,0.5153029588711437,0.5355756939864867,0.0,0.0,0.0
3,1,3,0.5513272867708796,0.6101818193332454,0.1953311196307975,0.1399294084281991,0.15738184899912028
3,2,3,0.6824249152665041,0.4433207712064035,0.052193283261816555,0.023214064862531657,0.050616897031828034
4,1,4,0.6311473897138291,0.5204995343362334,0.060103756054778766,0.012326201149155525,0.0652209115033375
4,2,3,0.5119560657816201,0.36292036776918885,0.05659167491699179,0.06550000829436138,0.008300201834844301
5,1,16,0.5625890290888995,0.512102079818056,0.14674971318835833,0.13853113823627702,0.07879470629673078
5,2,14,0.5180089112443061,0.24133245681697682,0.14202025132693186,0.1309375052328605,0.07901071178820297
